uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,geometry,positionalaccuracy,effectivestartdate,effectiveenddate
10091906164,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,H S L,,DUNNS MOTORS LTD H S L,DUNNS BUSINESS CENTRE,11,TRUSHAM ROAD,MARSH BARTON TRADING ESTATE,EXETER,,EX2 8RL,"H S L, DUNNS MOTORS LTD H S L, DUNNS BUSINESS CENTRE, 11, TRUSHAM ROAD, MARSH BARTON TRADING ESTATE, EXETER, EX2 8RL",England,,,,,,,,,,,,,OR04,Additional Mail / Packet Addressee,Other (Ordnance Survey Only),Royal Mail Infrastructure,Additional Mail / Packet Addressee,,Built In Use,2015-08-24,Approved,A record which is linked to PAF,100041046289,10013039818,3,14200864,Spatially Matched,7655,ORDNANCE SURVEY,E07000041,292191.00,90719.00,50.7060701,-3.5281498,POINT(292191 90719),Central Internal Position,2015-08-24,
100040223329,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,42,MARLBOROUGH ROAD,,EXETER,,EX2 4LL,"42, MARLBOROUGH ROAD, EXETER, EX2 4LL",England,,,,,,,,,,,,,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040223329,1,14200529,Manually Matched,1110,EXETER,E07000041,292921.00,92124.00,50.7188356,-3.5182235,POINT(292921 92124),General Internal Position,2001-04-04,
100040217787,2024-05-21,2024-05-22T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,,,16,HILLSBOROUGH AVENUE,,EXETER,,EX4 6BW,"16, HILLSBOROUGH AVENUE, EXETER, EX4 6BW",England,,,,,,,,,,,,,RD04,Terraced,Residential,Dwelling,Terraced,,Built In Use,2011-07-12,Approved,A record which is linked to PAF,,100040217787,1,14200401,Manually Matched,1110,EXETER,E07000041,292492.00,93450.00,50.7306767,-3.5246854,POINT(292492 93450),General Internal Position,2001-04-04,
10094202781,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 150,RENSLADE HOUSE,,BONHAY ROAD,,EXETER,,EX4 3AY,"FLAT 150, RENSLADE HOUSE, BONHAY ROAD, EXETER, EX4 3AY",England,,,,,,,,,,,,,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2019-09-26,Approved,A record which is postal and has a parent record which is linked to PAF,100041141966,100041141966,2,14200086,Manually Matched,1110,EXETER,E07000041,291533.05,92227.66,50.7195098,-3.5379080,POINT(291533.05 92227.66),General Internal Position,2019-09-26,
10094201178,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Non Addressable Object,,,,SANDERLING HOUSE,,BROOKLANDS,,EXETER,,EX2 6FR,"SANDERLING HOUSE, BROOKLANDS, EXETER, EX2 6FR",England,,,,,,,,,,,,,PP,Property Shell,Parent Shell,Property Shell,,,Built In Use,2020-09-29,Approved,Not Postal Address,,10094201178,1,14203042,Manually Matched,1110,EXETER,E07000041,293547.82,90743.78,50.7065432,-3.5089488,POINT(293547.82 90743.78),Central Internal Position,2018-03-14,
10094204402,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,ROOM 2,FIRST FLOOR FLAT 4,,BAMPFYLDE STREET,,EXETER,,EX1 2FW,"ROOM 2, FIRST FLOOR FLAT 4, BAMPFYLDE STREET, EXETER, EX1 2FW",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2020-06-10,Approved,A record which is identified as postal based on Local Authority information,10094203713,10094201747,3,14200045,Manually Matched,1110,EXETER,E07000041,292598.20,93011.71,50.7267562,-3.5230534,POINT(292598.2 93011.71),General Internal Position,2020-06-10,
10094201552,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 5,EMMANUEL COURT,,OKEHAMPTON ROAD,,EXETER,,EX4 1FB,"FLAT 5, EMMANUEL COURT, OKEHAMPTON ROAD, EXETER, EX4 1FB",England,,,,,,,,,,0,0.0,0.0,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),,Built In Use,2020-02-20,Approved,A record which is linked to PAF,10094201547,10094201547,2,14200604,Manually Matched,1110,EXETER,E07000041,291190.13,92272.41,50.7198480,-3.5427772,POINT(291190.13 92272.41),General Internal Position,2018-06-06,
10094201601,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT G17,CLIFFORD HOUSE,,STADIUM WAY,,EXETER,,EX4 6AQ,"FLAT G17, CLIFFORD HOUSE, STADIUM WAY, EXETER, EX4 6AQ",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2019-08-07,Approved,A record which is linked to PAF,10094201584,10094201584,2,14202219,Manually Matched,1110,EXETER,E07000041,292839.08,93519.86,50.7313689,-3.5197896,POINT(292839.08 93519.86),General Internal Position,2018-07-02,
10094201717,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,FLAT 413,CLIFFORD HOUSE,,STADIUM WAY,,EXETER,,EX4 6AX,"FLAT 413, CLIFFORD HOUSE, STADIUM WAY, EXETER, EX4 6AX",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2019-08-07,Approved,A record which is linked to PAF,10094201584,10094201584,2,14202219,Manually Matched,1110,EXETER,E07000041,292839.08,93519.86,50.7313689,-3.5197896,POINT(292839.08 93519.86),General Internal Position,2018-07-02,
10094204532,2024-05-20,2024-05-21T00:00:00.000Z,,Modified Attributes,Address,Postal Address,,,ROOM CL1,SECOND FLOOR FLAT 34,,BAMPFYLDE STREET,,EXETER,,EX1 2FW,"ROOM CL1, SECOND FLOOR FLAT 34, BAMPFYLDE STREET, EXETER, EX1 2FW",England,,,,,,,,,,,,,RH02,HMO Bedsit / Other Non Self Contained Accommodation,Residential,House In Multiple Occupation,HMO Bedsit / Other Non Self Contained Accommodation,,Built In Use,2020-06-16,Approved,A record which is identified as postal based on Local Authority information,10094203777,10094201747,3,14200045,Manually Matched,1110,EXETER,E07000041,292598.20,93011.71,50.7267562,-3.5230534,POINT(292598.2 93011.71),General Internal Position,2020-06-16,
